Year,AphiaID,Species Latin Name,Area,Country,AMS Catch(TLW),BMS Catch(TLW)
2020,127160,Solea solea,27_4_A,NO,0.03,
2020,127160,Solea solea,27_4_B,BE,101.84,0
2020,127160,Solea solea,27_4_C,BE,138.33,0.037
2020,127160,Solea solea,27_4_A,DE,0.02205,
2020,127160,Solea solea,27_4_B,DE,497.915,2.38
2020,127160,Solea solea,27_4_C,DE,416.337,2.85
2020,127160,Solea solea,27_4_A,DK,0.029,
2020,127160,Solea solea,27_4_B,DK,118.6,
2020,127160,Solea solea,27_4_C,DK,4.572,
2020,127160,Solea solea,27_4_B,NL,2001.91,8.664
2020,127160,Solea solea,27_4_C,NL,4672.63,23.954
2020,127160,Solea solea,27_4_B,FR,0.72,
2020,127160,Solea solea,27_4_C,FR,36.116,
2020,127160,Solea solea,27_4_A,GB,0.0287,0
2020,127160,Solea solea,27_4_B,GB,318.505,0.8827
2020,127160,Solea solea,27_4_C,GB,221.808,1.0946
