Year,1,2,3,4,5,6,7,8,9,10+
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,6461,12606,5212,1029,272,0,0,0,0,0
2003,1156,7152,5059,1212,381,0,0,0,0,0
2004,293,12832,7449,1719,518,12,0,0,0,0
2005,2256,5622,4796,1258,375,63,22,0,0,0
2006,2390,5727,2705,654,197,28,18,7,0,0
2007,818,4923,3010,619,226,57,4,0,0,0
2008,1230,2704,1764,371,106,0,8,0,0,0
2009,2695,6480,3652,999,266,5,9,0,0,0
2010,5687,12164,6670,1544,493,31,10,2,2,0
2011,3457,10298,5482,1273,354,33,0,0,0,0
2012,1132,19556,9444,984,230,232,36,4,7,1
2013,4653,5733,12558,3649,340,125,19,3,0,0
2014,7162,5836,2371,3488,1366,238,198,6,0,0
2015,9454,9166,3913,1991,1528,415,15,50,8,1
2016,5145,5338,5048,1393,291,536,226,4,1,1
2017,6083,4171,3633,2712,469,89,342,138,0,0
2018,2928,7760,1704,1448,1186,98,15,125,36,0
2019,12596.092451,8609.706396,5485.545142,1639.853714,788.616439,793.910453,233.130778,18.531319,79.479828,0.812
2020,2454.162222,17135.675694,2125.835444,1174.870531,308.979256,68.009837,61.185831,11.937013,5.237509,0
2021,2322.812214,2033.932271,5548.958262,938.215983,478.941394,39.348065,8.269142,20.320746,2.594012,0
